old value	new value
C. H. Brendel	C. H. Brendel
C. H. Clarke	C. H. Clarke
Miss C. H. Clarke	C. H. Clarke
C. H. Danforth	C. H. Danforth
C. H. Kauffman	C. H. Kauffman
C. H. Ostenfeld	C. H. Ostenfeld
C. H. Rechinger	C. H. Rechinger
C. H. Townsend	C. H. Townsend
C. I. Dickinson	C. I. Dickinson
Mr. C. J. Brand	C. J. Brand
C. J. Chamberlain	C. J. Chamberlain
C. J. Dawes	C. J. Dawes
C. J. Dawes, Orlando Villet	C. J. Dawes, Orlando Villet
C. J. Dawes and S. E. Taylor	C. J. Dawes, S. E. Taylor
C. J. Dawes, S. E. Taylor	C. J. Dawes, S. E. Taylor
C. J. Elmore	C. J. Elmore
C. J. Engard	C. J. Engard
C. J. Johanson	C. J. Johanson
C. J. Johansson	C. J. Johanson
C. J. Johnson	C. J. Johanson
C. J. Pitard	C. J. Pitard
C. J. Verhey	C. J. Verhey
C. John	C. John
C. K.	C. K. Tseng
C. K. Tseng	C. K. Tseng
Tseng C. K.	C. K. Tseng
Tseng, C. K.	C. K. Tseng
C. Kalchbrenner	C. Kalchbrenner
Chas Kani	C. Kani
C. L. Lundell	C. L. Lundell
C. L. Lundey	C. L. Lundell
C. L. Porter	C. L. Porter
C. L. Porter, M. W. Porter	C. L. Porter, M. W. Porter
C. L. Porter, Marjorie W. Porter	C. L. Porter, Marjorie W. Porter
C. Lagerheim, N. Lagerheim	C. Lagerheim, N. Lagerheim
Ch. Lewinsohn	C. Lewinsohn
C. Limbaugh	C. Limbaugh
C. Limbaugh, R. Church	C. Limbaugh, R. Church
C. Lobban	C. Lobban
C. Luerfsen	C. Luerfsen
C. M. Cooke, Jr.	C. M. Cooke Jr.
C. M. Crosby	C. M. Crosby
C. M. Crosby and L. A. Doore	C. M. Crosby, L. A. Doore
C. M. Crosby, L. A. Doore	C. M. Crosby, L. A. Doore
C. M. Crosby, L. A. Doore, L. M. Jones	C. M. Crosby, L. A. Doore, L. M. Jones
C. M. Tarzwell	C. M. Tarzwell
C. M. van der Sande Lacoste	C. M. van der Sande Lacoste
C. M. Weber	C. M. Weber
