Ralph H. Mizell, Charles W. Anderson	fix2019 Ralph H. Mizell, Charles W. Anderson	2
F. Angermyer, S. A. Earle, E. Janss, A. Howe, R. Maestrell	fix2019 F. Angermyer, S. A. Earle, E. Janss, A. Howe, R. Maestrell	1
David Porterfield, Arthur F. Akard, Elaine Brigham	fix2019 David Porterfield, Arthur F. Akard, Elaine Brigham	1
D. E. Harper, Jr., Burke, Thomas	fix2019 D. E. Harper, Jr., Burke, Thomas	1
Arthur Nash, Mildren H. Jones	fix2019 Arthur Nash, Mildren H. Jones	1
N. Gist Gee, Rock Institute, Su-Chau	fix2019 N. Gist Gee, Rock Institute, Su-Chau	1
V. W. Lindauer, H. Kylin	fix2019 V. W. Lindauer, H. Kylin	1
Josephine E. Tilden, C. M. Crosby, L. A. Doorf, T. T. Earle., L. M. Jones, M. H. Jones	fix2019 Josephine E. Tilden, C. M. Crosby, L. A. Doorf, T. T. Earle., L. M. Jones, M. H. Jones	2
G. D. Westendrop, A. C. F. Wallays	fix2019 G. D. Westendrop, A. C. F. Wallays	1
Maxwell S. Doty, H. B. S. Womersley	fix2019 Maxwell S. Doty, H. B. S. Womersley	1
W. R. Taylor, F. H. Elmore	fix2019 W. R. Taylor, F. H. Elmore	1
M. van As, A. V. Duthie	fix2019 M. van As, A. V. Duthie	1
A. Nájera, M. Pérez	fix2019 A. Nájera, M. Pérez	1
Thomas Grohman, Enoch Garcia #13, Elaine Brigham #18, Joanna R. Leung #6, same data	fix2019 Thomas Grohman, Enoch Garcia #13, Elaine Brigham #18, Joanna R. Leung #6, same data	1
W. R. Taylor, W. Setchell	fix2019 W. R. Taylor, W. Setchell	1
P. A. Cordero, de la Cruz	fix2019 P. A. Cordero, de la Cruz	1
K. E. Bucher, B. Brooks	fix2019 K. E. Bucher, B. Brooks	1
T. A., Anne Stephenson	fix2019 T. A., Anne Stephenson	1
Luis R. Almodovar, Idelissa Bonnelly y estuiantes de CIBIMA	fix2019 Luis R. Almodovar, Idelissa Bonnelly y estuiantes de CIBIMA	1
L. Swart, A. V. Duthie	fix2019 L. Swart, A. V. Duthie	1
Luis R. Almodovar, V. M. Rosado, F. Pagan, J. J. Irizarry, T. Felix	fix2019 Luis R. Almodovar, V. M. Rosado, F. Pagan, J. J. Irizarry, T. Felix	1
Wm. R. Taylor, F. H. Elmore	fix2019 Wm. R. Taylor, F. H. Elmore	2
R. Buggeln, D. Greathouse, R. Tsuda	fix2019 R. Buggeln, D. Greathouse, R. Tsuda	1
J. S. Collins, W. A. Setchell	fix2019 J. S. Collins, W. A. Setchell	1
H. Klerek, A. V. Duthie	fix2019 H. Klerek, A. V. Duthie	1
N. L. Nicholson, S. Rasch, R. Given	fix2019 N. L. Nicholson, S. Rasch, R. Given	1
G. W. Traill, E. M. Holmes	fix2019 G. W. Traill, E. M. Holmes	1
I. B. Warnock, P. J. Philson	fix2019 I. B. Warnock, P. J. Philson	2
H. C. Richards, A. H. S. Lucas	fix2019 H. C. Richards, A. H. S. Lucas	1
A. Piccone, V. Toscanelli	fix2019 A. Piccone, V. Toscanelli	1
Ralph H. Mizell, Rick Meyer	fix2019 Ralph H. Mizell, Rick Meyer	1
Mildred H. Jones, Arthur Nash	fix2019 Mildred H. Jones, Arthur Nash	1
L. Angel, C. Gonzalez	fix2019 L. Angel, C. Gonzalez	1
L. R. Almodovar, Fco. Pagan, B. & C. Cutress	fix2019 L. R. Almodovar, Fco. Pagan, B. & C. Cutress	2
Minnie Reed, Minnie Reed	fix2019 Minnie Reed, Minnie Reed	1
R. Hooper, J. Bolton	fix2019 R. Hooper, J. Bolton	2
R. E. Snodgrass, E. Heller	fix2019 R. E. Snodgrass, E. Heller	2
Irl B. Warnock, Vesta Warnock	fix2019 Irl B. Warnock, Vesta Warnock	4
R. Perrin, D. Carter	fix2019 R. Perrin, D. Carter	1
Ted Krum, Ed Ketterer, Enoch Garcia, Joanna R. Leung	fix2019 Ted Krum, Ed Ketterer, Enoch Garcia, Joanna R. Leung	1
Abel Hare, Minnie Reed	fix2019 Abel Hare, Minnie Reed	1
Victor W. Lindauer, G. F. Papenfuss	fix2019 Victor W. Lindauer, G. F. Papenfuss	2
Wm. R. Taylor, & Party	fix2019 Wm. R. Taylor, & Party	1
Sylvia A. Earle, Elizabeth Mead, Richie Mead, Whit Mead	fix2019 Sylvia A. Earle, Elizabeth Mead, Richie Mead, Whit Mead	1
H. E. Parks, Wilder	fix2019 H. E. Parks, Wilder	2
